BBL,Address,Zip Code,Year Built,Total Units,Residential Units,Rent Stabilized Units,Latest sale price,Sales (12/02/2021 - 10/31/2024),Marshal Evictions (12/02/2021 - 12/01/2024),HPD Problems (12/02/2021 - 11/30/2024),HPD Violations (12/02/2021 - 12/01/2024),DOB Complaints (12/02/2021 - 12/01/2024),DOB Violations (12/02/2021 - 12/01/2024),ECB Violations (12/02/2021 - 12/01/2024),DOB Permit Applications (12/02/2021 - 12/02/2024),DOB Permit Issuances (12/02/2021 - 12/02/2024),Litigations against landlords (12/02/2021 - 11/30/2024),Housing Court Cases (12/02/2021 - 12/02/2024)
2023170015,129 Lincoln Avenue,10454,1928,2,1,0,0,0,0,0,0,0,6,0,0,0,0,0
2023170013,133 Lincoln Avenue,10454,1940,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2023170043,143 Lincoln Avenue,10454,1910,31,29,29,10000,1,0,16,39,0,1,0,0,0,0,0
2023160001,101 Lincoln Avenue,10454,2020,926,921,0,125400000,0,0,33,38,5,5,20,2,9,0,7
2023097502,135 Alexander Avenue,10454,2015,7,6,5,0,0,0,0,1,0,0,0,0,0,0,0
2023090025,137 Alexander Avenue,10454,1931,10,9,9,1100000,0,0,7,9,1,1,1,0,0,0,0
2023090012,23 Bruckner Boulevard,10454,2016,130,130,130,150000,0,2,28,15,14,0,1,1,0,1,26
2023090024,139 Alexander Avenue,10454,2018,8,7,7,0,0,0,2,0,0,0,0,0,0,0,0
2023090022,308 East 134th Street,10454,2018,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0
2023090023,141 Alexander Avenue,10454,2018,8,7,7,0,0,0,0,3,0,0,0,0,0,0,0
2023090020,East 134th Street,10454,2021,22,22,22,2050000,0,0,4,7,0,0,0,0,6,0,0
2023090001,112 Lincoln Avenue,10454,1920,77,75,0,0,0,2,8,17,13,1,3,0,0,0,18
2023090029,129 Alexander Avenue,10454,1931,10,9,9,0,0,1,0,2,1,0,1,0,0,0,0
2023090030,33 Bruckner Boulevard,10454,1931,9,8,0,1600000,0,0,0,6,1,6,0,0,0,0,0
2023097501,131 Alexander Avenue,10454,2015,11,9,0,0,0,0,1,1,0,0,0,0,0,0,0
2022950067,70 Bruckner Boulevard,10454,2010,60,60,60,1,0,2,52,56,5,1,1,0,0,2,43
2022950051,40 Bruckner Boulevard,10454,2022,370,365,0,0,0,0,4,1,40,9,19,5,23,0,4
2022957501,85 Willis Avenue,10454,2009,422,419,419,0,0,15,1437,1234,0,3,29,1,1,20,255
2022950040,329 East 132nd Street,10454,2017,92,91,91,0,0,6,1,0,2,1,1,0,0,0,28
2022960044,65 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,0,3,0,0,0,0,0,0,0
2022960042,69 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,0,7,0,1,0,0,0,0,0
2022960046,61 Bruckner Boulevard,10454,1915,5,4,0,950000,0,0,9,13,4,1,4,0,0,1,0
2022960045,63 Bruckner Boulevard,10454,1915,4,4,4,1530000,0,0,0,3,0,0,0,0,0,0,0
2022960054,45 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,0,7,0,0,0,0,0,0,0
2022960014,354 East 134th Street,10454,1901,3,3,0,866666,0,0,0,3,0,0,0,0,0,0,0
2022960055,43 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,14,19,0,0,0,0,0,0,0
2022967501,55 Bruckner Boulevard,10454,2013,4,3,4,0,0,0,0,4,0,0,0,0,0,0,0
2022960004,132 Alexander Avenue,10454,1915,4,3,0,0,0,0,0,5,0,2,0,0,0,0,0
2022960056,41 Bruckner Boulevard,10454,1915,8,7,0,0,0,0,13,37,0,4,0,0,0,1,0
2022960050,53 Bruckner Boulevard,10454,1915,5,4,0,75000,2,0,0,4,2,0,0,0,0,0,0
2022960015,356 East 134th Street,10454,1901,3,3,0,225000,0,0,0,0,2,1,0,0,0,0,0
2022960052,49 Bruckner Boulevard,10454,1915,4,2,0,1700000,1,0,0,0,0,0,0,0,0,0,0
2022960051,51 Bruckner Boulevard,10454,1915,5,4,4,1850000,1,0,4,7,3,2,2,0,0,0,0
2022960047,59 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,0,7,0,2,0,0,0,0,0
2022960053,47 Bruckner Boulevard,10454,1915,4,3,0,0,0,0,1,9,1,0,0,0,0,0,0
2022967502,136 Alexander Avenue,10454,2015,6,5,5,0,0,0,0,2,0,0,0,0,0,0,0
2022960102,128 Alexander Avenue,10454,1915,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0
2022960057,39 Bruckner Boulevard,10454,1915,10,8,0,900000,0,0,19,45,2,0,1,0,0,0,0
2022960010,346 East 134th Street,10454,1905,11,11,0,0,0,0,36,14,4,0,0,0,0,0,1
2022960005,134 Alexander Avenue,10454,1915,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0
2022960001,126 Alexander Avenue,10454,1915,9,8,0,1875000,0,0,4,10,0,0,0,0,0,0,0
2022960007,340 East 134th Street,10454,1915,3,3,0,0,1,1,40,59,0,0,0,0,0,9,0
2022960003,130 Alexander Avenue,10454,1915,4,3,0,0,0,0,1,4,0,0,0,0,0,0,0
2022960048,57 Bruckner Boulevard,10454,1915,4,3,0,0,1,0,0,3,0,1,0,0,0,0,0
2022960013,352 East 134th Street,10454,1901,3,3,0,866666,0,0,0,3,0,0,0,0,0,0,0
2022960012,350 East 134th Street,10454,1901,8,8,8,866666,0,0,1,4,0,0,0,0,0,0,0
2022780033,450 East 134th Street,10454,1901,2,2,0,480000,0,0,0,0,0,0,0,0,0,0,0
2022780016,416 East 134th Street,10454,1901,2,2,0,950000,1,0,0,0,0,0,0,0,0,0,0
2022780045,474 East 134th Street,10454,1901,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2022780022,428 East 134th Street,10454,1901,3,3,0,870000,0,0,0,0,0,0,0,0,0,0,0
2022780024,432 East 134th Street,10454,1901,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0
2022780021,426 East 134th Street,10454,1901,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780018,420 East 134th Street,10454,1901,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780019,422 East 134th Street,10454,1901,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0
2022780030,444 East 134th Street,10454,1901,2,2,7,0,0,0,5,10,0,1,0,0,0,0,0
2022780039,462 East 134th Street,10454,1901,3,3,0,363000,0,0,0,0,0,0,0,0,0,0,0
2022780037,458 East 134th Street,10454,1901,2,2,0,736000,0,0,0,0,0,0,0,1,1,0,0
2022780042,468 East 134th Street,10454,1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780036,456 East 134th Street,10454,1901,2,2,0,385000,0,0,0,0,0,0,0,0,0,0,0
2022780013,410 East 134th Street,10454,1931,3,3,0,7508641,0,0,0,12,0,0,0,0,0,0,0
2022780005,130 Willis Avenue,10454,1900,23,23,23,75000,0,1,170,131,7,3,2,0,0,2,23
2022780041,466 East 134th Street,10454,1901,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0
2022780017,418 East 134th Street,10454,1901,2,2,0,179000,0,0,0,0,0,0,0,0,0,0,0
2022780020,424 East 134th Street,10454,1901,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780053,Brown Place,10454,2019,17,17,5,7000000,0,0,5,1,0,0,0,0,0,0,5
2022780070,Bruckner Boulevard,10454,2020,55,55,50,0,0,1,25,24,0,0,0,0,0,1,11
2022780025,434 East 134th Street,10454,1901,2,2,0,0,0,0,40,38,2,0,1,0,0,1,0
2022780015,414 East 134th Street,10454,1931,3,3,0,0,0,0,0,7,0,7,0,0,0,0,0
2022780014,412 East 134th Street,10454,1931,4,4,0,575000,0,0,26,5,1,1,0,0,0,0,0
2022780044,472 East 134th Street,10454,1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780029,442 East 134th Street,10454,1901,3,3,0,630000,0,0,0,7,0,0,0,0,0,0,0
2022780035,454 East 134th Street,10454,1901,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0
2022780038,460 East 134th Street,10454,1901,1,1,0,620000,0,0,0,0,0,0,0,0,0,0,0
2022780027,438 East 134th Street,10454,1901,3,3,0,90000,0,0,2,1,0,0,0,0,0,0,0
2022780047,478 East 134th Street,10454,1901,1,1,0,880000,0,0,0,0,0,0,0,0,0,0,0
2022780034,452 East 134th Street,10454,1901,1,1,0,600000,0,0,0,7,0,0,0,0,0,0,0
2022780023,430 East 134th Street,10454,1901,2,2,0,499000,0,0,5,5,1,0,0,0,0,0,0
2022780026,436 East 134th Street,10454,1901,2,2,0,0,0,0,3,24,0,0,0,0,0,0,0
2022780040,464 East 134th Street,10454,1901,2,2,0,280000,0,0,0,0,0,0,0,0,0,0,0
2022780049,482 East 134th Street,10454,1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780012,408 East 134th Street,10454,1931,4,4,0,750000,0,1,0,1,0,0,0,0,0,0,0
2022780004,128 Willis Avenue,10454,1931,8,7,8,0,0,0,0,6,1,2,1,0,0,0,0
2022780059,109 Bruckner Boulevard,10454,2019,20,20,6,7000000,0,0,13,9,3,0,0,0,0,0,14
2022780043,470 East 134th Street,10454,1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022780050,484 East 134th Street,10454,1901,2,2,0,255000,0,0,0,0,1,0,0,0,0,0,0
2022780046,476 East 134th Street,10454,1901,1,1,0,875000,0,0,0,0,0,0,0,0,0,0,0
2022780048,480 East 134th Street,10454,1901,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022610045,147 Bruckner Boulevard,10454,1925,15,12,12,2645000,0,0,134,117,6,0,3,0,0,2,3
2022610037,544 East 134th Street,10454,1920,8,8,0,225000,0,0,0,7,0,0,0,0,0,0,0
2022600017,144 Bruckner Boulevard,10454,1931,15,15,0,0,2,0,37,30,5,11,6,0,0,2,8
2022600018,148 Bruckner Boulevard,10454,1920,10,8,8,0,2,0,14,17,10,1,1,0,0,0,0
2022600010,138 Bruckner Boulevard,10454,2023,450,448,0,35000000,1,0,34,20,33,13,25,9,2,1,0
2025620034,720 East 134th Street,10454,1920,3,3,0,0,0,0,0,7,0,0,0,0,0,0,0
2025620069,743 East 133rd Street,10454,1920,2,2,0,200000,0,0,0,0,0,0,0,0,0,0,0
2025620037,726 East 134th Street,10454,1920,3,3,0,725000,0,2,37,17,0,0,0,0,0,0,0
2025620081,717 East 133rd Street,10454,1901,3,3,0,135000,0,0,1,4,0,0,0,0,0,0,0
2025620026,704 East 134th Street,10454,1920,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620090,699 East 133rd Street,10454,1901,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2025620018,690 East 134th Street,10454,1920,2,2,0,315000,0,0,0,0,0,0,0,0,0,0,0
2025620092,695 East 133rd Street,10454,1901,2,2,0,0,1,0,0,7,0,0,0,0,0,0,0
2025620086,705 East 133rd Street,10454,1901,2,2,0,1150000,1,0,4,3,0,0,0,0,0,0,0
2025620027,706 East 134th Street,10454,1920,2,2,0,0,0,0,8,4,0,0,0,0,0,1,0
2025620084,711 East 133rd Street,10454,1910,5,4,0,455000,0,0,0,3,5,0,3,0,1,0,0
2025620028,708 East 134th Street,10454,1920,3,3,0,0,2,0,0,7,1,0,0,0,0,0,0
2025620073,735 East 133rd Street,10454,1920,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
