"BBL","Address","Zip Code","Year Built","Total Units","Residential Units","Rent Stabilized Units","Latest sale price","Sales (12/02/2021 - 10/31/2024)","Marshal Evictions (12/02/2021 - 12/01/2024)","HPD Problems (12/02/2021 - 11/30/2024)","HPD Violations (12/02/2021 - 12/01/2024)","DOB Complaints (12/02/2021 - 12/01/2024)","DOB Violations (12/02/2021 - 12/01/2024)","ECB Violations (12/02/2021 - 12/01/2024)","DOB Permit Applications (12/02/2021 - 12/02/2024)","DOB Permit Issuances (12/02/2021 - 12/02/2024)","Litigations against landlords (12/02/2021 - 11/30/2024)","Housing Court Cases (12/02/2021 - 12/02/2024)"
"2022850073","437 East 140th Street","10454","1912","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022800013","410 East 136th Street","10454","1878","1","1","0","0","0","0","1","0","0","3","0","0","0","0","0"
"2022800014","412 East 136th Street","10454","1878","1","1","0","825000","0","0","0","0","0","0","0","0","0","0","0"
"2022800015","414 East 136th Street","10454","1891","2","2","0","300000","0","0","0","0","0","0","0","0","0","0","0"
"2022800016","416 East 136th Street","10454","1891","1","1","0","1150000","1","0","0","0","2","0","0","0","0","0","0"
"2022800017","418 East 136th Street","10454","1891","1","1","0","835000","0","0","0","0","1","0","0","0","0","0","0"
"2022800018","420 East 136th Street","10454","1891","1","1","0","63333","0","0","0","0","0","0","0","0","0","0","0"
"2022800020","424 East 136th Street","10454","1891","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022800021","426 East 136th Street","10454","1891","1","1","0","415000","0","0","0","0","0","2","0","0","0","0","0"
"2022800022","428 East 136th Street","10454","1891","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022800023","430 East 136th Street","10454","1891","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022800024","432 East 136th Street","10454","1891","2","2","0","935000","1","0","4","4","0","0","0","0","0","0","0"
"2022800025","434 East 136th Street","10454","1895","2","2","0","0","0","0","0","0","1","0","0","0","0","0","0"
"2022800026","436 East 136th Street","10454","1895","2","2","0","2000","0","0","0","1","1","0","0","0","0","0","0"
"2022800027","438 East 136th Street","10454","1895","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022800080","440 East 136th Street","10454","1895","2","2","0","0","0","0","3","0","0","0","0","0","0","0","0"
"2022810066","425 East 136th Street","10454","1893","2","2","0","0","0","0","0","7","1","0","0","0","0","0","0"
"2022810067","423 East 136th Street","10454","1893","13","13","0","0","0","0","34","27","0","6","0","0","0","1","1"
"2022810068","421 East 136th Street","10454","1893","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022810069","419 East 136th Street","10454","1893","2","2","0","1200000","1","0","0","0","1","0","0","0","0","0","0"
"2022810070","417 East 136th Street","10454","1893","2","2","0","535000","0","0","0","2","0","1","0","0","0","0","0"
"2022810071","415 East 136th Street","10454","1893","3","3","0","925721","0","0","0","12","0","0","0","0","0","0","0"
"2022840011","406 East 140th Street","10454","1889","10","10","0","0","0","0","0","3","1","6","2","0","0","0","0"
"2022840012","408 East 140th Street","10454","1889","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840013","410 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840014","412 East 140th Street","10454","1889","2","2","0","460000","0","0","0","0","0","0","0","0","0","0","0"
"2022840015","414 East 140th Street","10454","1889","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840016","416 East 140th Street","10454","1889","1","1","0","0","0","0","11","7","0","0","0","0","0","0","0"
"2022840017","418 East 140th Street","10454","1889","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840018","420 East 140th Street","10454","1889","1","1","0","490000","0","0","1","0","0","0","0","0","0","0","0"
"2022840019","422 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840020","424 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840021","426 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840022","428 East 140th Street","10454","1889","2","2","0","777000","1","0","4","2","3","3","0","0","0","0","0"
"2022840023","430 East 140th Street","10454","1889","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840024","432 East 140th Street","10454","1889","2","2","0","172977","0","0","0","0","0","0","0","0","0","0","0"
"2022840025","434 East 140th Street","10454","1889","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2022840026","436 East 140th Street","10454","1889","1","1","0","330000","0","0","0","0","0","0","0","0","0","0","0"
"2022840027","438 East 140th Street","10454","1889","2","2","0","338000","0","0","0","0","0","0","0","0","0","0","0"
"2022840028","440 East 140th Street","10454","1889","1","1","0","250000","0","0","0","0","0","0","0","0","0","0","0"
