filename,period,bx_average_rent,mott_haven_studio_rent,mott_haven_one-bedroom_rent,mott_haven_two-bedroom_rent
monthly-reports/bronx_market_report_apr_20.pdf,APRIL 2020,1934.0,1862.0,1876.0,2621.0
monthly-reports/bronx_market_report_apr_21.pdf,APRIL 2021,2012.0,1879.0,2300.0,2731.0
monthly-reports/bronx_market_report_apr_22.pdf,APRIL 2022,2187.0,2507.0,2643.0,3218.0
monthly-reports/bronx_market_report_apr_23.pdf,APRIL 2023,2346.0,2597.0,3068.0,3334.0
monthly-reports/bronx_market_report_apr_24.pdf,APRIL 2024,2406.0,2485.0,2859.0,3479.0
monthly-reports/bronx_market_report_aug_19.pdf,,,,,
monthly-reports/bronx_market_report_aug_20.pdf,AUGUST 2020,1994.0,2126.0,2207.0,2418.0
monthly-reports/bronx_market_report_aug_21.pdf,AUGUST 2021,2023.0,1924.0,2223.0,2679.0
monthly-reports/bronx_market_report_aug_22.pdf,AUGUST 2022,2221.0,2613.0,2489.0,3067.0
monthly-reports/bronx_market_report_aug_23.pdf,AUGUST 2023,2482.0,2679.0,3106.0,3740.0
monthly-reports/bronx_market_report_aug_24.pdf,AUGUST 2024,2565.0,2674.0,2935.0,3451.0
monthly-reports/bronx_market_report_dec_19.pdf,DECEMBER 2019,1927.0,1783.0,2074.0,2506.0
monthly-reports/bronx_market_report_dec_20.pdf,DECEMBER 2020,1983.0,1912.0,2414.0,2780.0
monthly-reports/bronx_market_report_dec_21.pdf,DECEMBER 2021,2041.0,2150.0,2338.0,2826.0
monthly-reports/bronx_market_report_dec_22.pdf,DECEMBER 2022,2229.0,2602.0,2400.0,3200.0
monthly-reports/bronx_market_report_dec_23.pdf,DECEMBER 2023,2457.0,2721.0,3052.0,3612.0
monthly-reports/bronx_market_report_feb_20.pdf,FEBRUARY 2020,1961.0,1918.0,2024.0,2372.0
monthly-reports/bronx_market_report_feb_21.pdf,FEBRUARY 2021,2039.0,2004.0,2623.0,2839.0
monthly-reports/bronx_market_report_feb_22.pdf,FEBRUARY 2022,2144.0,2425.0,2527.0,3159.0
monthly-reports/bronx_market_report_feb_23.pdf,FEBRUARY 2023,2336.0,2773.0,2656.0,3210.0
monthly-reports/bronx_market_report_feb_24.pdf,FEBRUARY 2024,2430.0,2619.0,3067.0,3538.0
monthly-reports/bronx_market_report_jan_20.pdf,JANUARY 2020,1958.0,2048.0,2053.0,2663.0
monthly-reports/bronx_market_report_jan_21.pdf,JANUARY 2021,2022.0,2024.0,2631.0,2725.0
monthly-reports/bronx_market_report_jan_22.pdf,JANUARY 2022,2107.0,2352.0,2468.0,3087.0
monthly-reports/bronx_market_report_jan_23.pdf,JANUARY 2023,2266.0,2480.0,2519.0,3291.0
monthly-reports/bronx_market_report_jan_24.pdf,JANUARY 2024,2393.0,2710.0,3032.0,3640.0
monthly-reports/bronx_market_report_jul_19.pdf,,,,,
monthly-reports/bronx_market_report_jul_20.pdf,JULY 2020,1958.0,2029.0,2158.0,2346.0
monthly-reports/bronx_market_report_jul_21.pdf,JULY 2021,2035.0,1962.0,2294.0,2718.0
monthly-reports/bronx_market_report_jul_22.pdf,JULY 2022,2266.0,2857.0,2631.0,3138.0
monthly-reports/bronx_market_report_jul_23.pdf,JULY 2023,2390.0,2696.0,2898.0,3492.0
monthly-reports/bronx_market_report_jul_24.pdf,JULY 2024,2547.0,2466.0,2873.0,3381.0
monthly-reports/bronx_market_report_jun_19.pdf,,,,,
monthly-reports/bronx_market_report_jun_20.pdf,JUNE 2020,1948.0,1893.0,2052.0,2459.0
monthly-reports/bronx_market_report_jun_21.pdf,JUNE 2021,2019.0,1944.0,2275.0,2680.0
monthly-reports/bronx_market_report_jun_22.pdf,JUNE 2022,2267.0,2535.0,2658.0,3470.0
monthly-reports/bronx_market_report_jun_23.pdf,JUNE 2023,2364.0,2708.0,2959.0,3477.0
monthly-reports/bronx_market_report_jun_24.pdf,JUNE 2024,2504.0,2559.0,2897.0,3437.0
monthly-reports/bronx_market_report_mar_20.pdf,MARCH 2020,1972.0,1788.0,2197.0,2348.0
