building_name,link,address,coordinates,total_units,total_stories,year_built
The Arches +NYC,https://streeteasy.com/building/the-arches-nyc,224 East 135th Street,"40.8100955,-73.9305333",190,25,2021
The Arches,https://streeteasy.com/building/the-arches,228 East 135th Street,"40.80996311,-73.93100657",156,25,2020
One38,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx,138 Bruckner Boulevard,"40.80353387,-73.9207622",447,12,2024
Bruckner House,https://streeteasy.com/building/bruckner-house,40 Bruckner Boulevard,"40.80629384,-73.92722838",365,12,2023
276 Grand Concourse,https://streeteasy.com/building/276-grand-concourse-bronx,,"40.81388952,-73.92888188",215,12,2022
Maven Mott Haven,https://streeteasy.com/building/maven-mott-haven,2413 Third Avenue,"40.80875296,-73.93145214",200,27,2023
445 Gerard Avenue,https://streeteasy.com/building/445-gerard-avenue-bronx,,"40.81754349,-73.9300955",338,11,2023
The Crescendo,https://streeteasy.com/building/the-crescendo,25 Bruckner Boulevard,"40.8078,-73.9291",130,6,2017
101 Bruckner Boulevard,https://streeteasy.com/building/101-bruckner-boulevard-bronx,,"40.8054816,-73.925894",55,7,2021
Third at Bankside,https://streeteasy.com/building/third-at-bankside,2401 Third Avenue,"40.80867363,-73.9319146",458,,2021
The Motto,https://streeteasy.com/building/the-motto,2455 Third Avenue,"40.8093456,-73.9296974",264,23,2023
414 Gerard Avenue,https://streeteasy.com/building/414-gerard-avenue-bronx,,"40.81712873,-73.9296046",206,11,2023
Lincoln at Bankside,https://streeteasy.com/building/lincoln-at-bankside,5 Lincoln Avenue,"40.8071064,-73.9300365",481,26,2023
322 Grand Concourse,https://streeteasy.com/building/322-grand-concourse-bronx,,"40.8146881,-73.9308572",151,14,2023
Brown Place Pearl,https://streeteasy.com/building/brown-place-pearl,133 Brown Place,"40.8052827,-73.92219011",16,6,2020
311 Saint Anns Avenue,https://streeteasy.com/building/311-st-anns-avenue-bronx,,"40.80902575,-73.91643166",15,5,1920
The Haven,https://streeteasy.com/building/the-haven,417 East 135th Street,"40.80707638,-73.92344911",22,6,2020
2490 Third Avenue,https://streeteasy.com/building/2490-3-avenue-bronx,,"40.8099532,-73.92825392",28,5,2020
225 East 138th Street,https://streeteasy.com/building/225-east-138-street-bronx,,"40.81209946,-73.92819977",47,7,2018
Bridgeline,https://streeteasy.com/building/bridgeline-329-east-132-street-bronx,329 East 132nd Street,"40.80609894,-73.9265976",91,12,2018
550 East 139th Street,https://streeteasy.com/building/550-east-139-street-bronx,,"40.80751957,-73.9173583",10,5,1931
323 Concord Avenue,https://streeteasy.com/building/323-concord-avenue-bronx,,"40.80694662,-73.91093282",3,3,1910
The Arches +NYC,https://streeteasy.com/building/the-arches-nyc,224 East 135th Street,"40.8100955,-73.9305333",190,25,2021
The Arches,https://streeteasy.com/building/the-arches,228 East 135th Street,"40.80996311,-73.93100657",156,25,2020
One38,https://streeteasy.com/building/one38-138-bruckner-boulevard-bronx,138 Bruckner Boulevard,"40.80353387,-73.9207622",447,12,2024
Bruckner House,https://streeteasy.com/building/bruckner-house,40 Bruckner Boulevard,"40.80629384,-73.92722838",365,12,2023
276 Grand Concourse,https://streeteasy.com/building/276-grand-concourse-bronx,,"40.81388952,-73.92888188",215,12,2022
Maven Mott Haven,https://streeteasy.com/building/maven-mott-haven,2413 Third Avenue,"40.80875296,-73.93145214",200,27,2023
445 Gerard Avenue,https://streeteasy.com/building/445-gerard-avenue-bronx,,"40.81754349,-73.9300955",338,11,2023
The Crescendo,https://streeteasy.com/building/the-crescendo,25 Bruckner Boulevard,"40.8078,-73.9291",130,6,2017
101 Bruckner Boulevard,https://streeteasy.com/building/101-bruckner-boulevard-bronx,,"40.8054816,-73.925894",55,7,2021
Third at Bankside,https://streeteasy.com/building/third-at-bankside,2401 Third Avenue,"40.80867363,-73.9319146",458,,2021
The Motto,https://streeteasy.com/building/the-motto,2455 Third Avenue,"40.8093456,-73.9296974",264,23,2023
